//Index   NonPK   ViewRange   ExperienceRate   ItemDropRate   ExcItemDropRate   SetItemDropRate   SocketItemDrop   HelperEnable   GensBattle	CustomAttack	CustomStore 	CustomPick	PkDropItem	DeathGate   	Comment
0         *       16          100              100            1000              0                 0                1              0             1            	1		1		1		17		"Lorencia"
1         *       16          100              100            1000              0                 0                1              0             1            	0		1		1		17		"Dungeon"
2         *       16          100              100            1000              0                 0                1              0            	1            	1		1		1		22		"Devias"
3         *       16          100              100            1000              0                 0                1              0           	1            	1		1		1		27		"Noria"
4         *       16          100              100            1000              0                 0                1              0            	1            	0		1		1		42		"Lost Tower"
6         *       16          100              100            1000              0                 0                1              0            	1            	0		1		1		115		"Arena"
7         *       16          100              100            1000              0                 0                1              0            	1            	0		1		1		49		"Atlans"
8         *       16          100              100            1000              0                 0                1              0            	1            	0		1		1		57		"Tarkan"
9         *       16          100              100            1000              0                 0                1              0            	0            	0		0		0		27		"Devil Square 1"
10        *       16          100              100            1000              0                 0                1              0            	1            	0		1		1		42		"Icarus"
11        *       16          100              100            1000              0                 0                1              0            	0            	0		0		0		22		"Blood Castle 1"
12        *       16          100              100            1000              0                 0                1              0            	0            	0		0		0		22		"Blood Castle 2"
13        *       16          100              100            1000              0                 0                1              0            	0            	0		0		0		22		"Blood Castle 3"
14        *       16          100              100            1000              0                 0                1              0            	0            	0		0		0		22		"Blood Castle 4"
15        *       16          100              100            1000              0                 0                1              0            	0            	0		0		0		22		"Blood Castle 5"
16        *       16          100              100            1000              0                 0                1              0            	0            	0		0		0		22		"Blood Castle 6"
17        *       16          100              100            1000              0                 0                1              0           	0            	0		0		0		22		"Blood Castle 7"
18        *       16          100              100            1000              0                 0                0              0            	0            	0		0		0		17		"Chaos Castle 1"
19        *       16          100              100            1000              0                 0                0              0            	0            	0		0		0		17		"Chaos Castle 2"
20        *       16          100              100            1000              0                 0                0              0            	0            	0		0		0		17		"Chaos Castle 3"
21        *       16          100              100            1000              0                 0                0              0             0            	0		0		0		17		"Chaos Castle 4"
22        *       16          100              100            1000              0                 0                0              0            	0            	0		0		0		17		"Chaos Castle 5"
23        *       16          100              100            1000              0                 0                0              0           	0            	0		0		0		17		"Chaos Castle 6"
24        *       16          100              100            1000              0                 0                1              0          	1            	0		1		1		17		"Kalima 1"
25        *       16          100              100            1000              0                 0                1              0          	1            	0		1		1		17		"Kalima 2"
26        *       16          100              100            1000              0                 0                1              0           	1            	0		1		1		17		"Kalima 3"
27        *       16          100              100            1000              0                 0                1              0            	1            	0		1		1		17		"Kalima 4"
28        *       16          100              100            1000              0                 0                1              0           	1            	0		1		1		17		"Kalima 5"
29        *       16          100              100            1000              0                 0                1              0           	1            	0		1		1		17		"Kalima 6"
30        *       16          100              100            1000              0                 0                1              0            	0            	0		0		0		100		"Castle Siege"
31        *       16          100              100            1000              5000              0                1              0         	1            	0		1		1		106		"Land of Trials"
32        *       16          100              100            1000              0                 0                1              0            	0            	0		0		0		27		"Devil Square 2"
33        *       16          100              100            1000              0                 0                1              0            	1            	0		1		1		119		"Aida"
34        *       16          100              100            1000              0                 0                1              0            	1            	0		1		1		118		"Crywolf"
36        *       16          100              100            1000              0                 0                1              0            	1            	0		1		1		17		"Kalima 7"
37        *       16          100              100            1000              0                 0                1              0            	1            	0		1		1		138		"Kanturu 1"
38        *       16          100              100            1000              0                 0                1              0           	1            	0		1		1		139		"Kanturu 2"
39        *       16          100              100            1000              0                 0                1              0            	1            	0		1		1		137		"Kanturu 3"
